Layer Number,Run Number,Loss,Accuracy
2,0,0.676911702,0.768
2,1,0.6845078909,0.7674166667
2,2,0.6776636433,0.773
2,3,0.6929652574,0.7655833333
2,4,0.6742888339,0.7699166667
2,5,0.6907705942,0.7676666667
2,6,0.6905354888,0.7656666667
2,7,0.6948259539,0.7644166667
2,8,0.7154511361,0.7613333333
2,9,0.6781869307,0.7724166667
2,10,0.7042110069,0.7655
2,11,0.6891200451,0.76375
2,12,0.6933067348,0.7625
2,13,0.705652878,0.7603333333
2,14,0.6805755378,0.7698333333
2,15,0.6874356583,0.7674166667
2,16,0.7010739478,0.7591666667
2,17,0.7148337861,0.7644166667
2,18,0.7041454648,0.7613333333
2,19,0.6821129839,0.7693333333
4,0,0.6903129243,0.76725
4,1,0.7519769909,0.7473333333
4,2,0.7141939564,0.7599166667
4,3,0.7468819384,0.7493333333
4,4,0.7002163277,0.7600833333
4,5,0.7092037849,0.7606666667
4,6,0.7274363366,0.7515833333
4,7,0.7121007678,0.7608333333
4,8,0.7175025636,0.75525
4,9,0.6898421662,0.7655833333
4,10,0.7423755811,0.7559166667
4,11,0.7072639806,0.761
4,12,0.6972102656,0.7635833333
4,13,0.756820029,0.74275
4,14,0.7401052723,0.7526666667
4,15,0.6961998632,0.7663333333
4,16,0.7354025464,0.747
4,17,0.7511484336,0.74325
4,18,0.7116818295,0.7568333333
4,19,0.7068724878,0.7584166667
8,0,0.726192632,0.7631666667
8,1,0.7147075721,0.7650833333
8,2,0.7003160673,0.7704166667
8,3,0.7266649812,0.75975
8,4,0.7400564729,0.7510833333
8,5,0.7633978838,0.7599166667
8,6,0.7484874705,0.7558333333
8,7,0.7630897985,0.74725
8,8,0.7663936419,0.7581666667
8,9,0.7411593446,0.76375
8,10,0.7366638505,0.7614166667
8,11,0.7162106388,0.7605
8,12,0.6993838119,0.7659166667
8,13,0.7203127542,0.7583333333
8,14,0.7520705928,0.7576666667
8,15,0.7370855341,0.75975
8,16,0.7470272954,0.7511666667
8,17,0.7561866842,0.74875
8,18,0.7356983669,0.75725
8,19,0.7102698208,0.7644166667
10,0,0.6347307585,0.78325
10,1,0.6563762345,0.7755833333
10,2,0.6526254443,0.7746666667
10,3,0.6562582951,0.7726666667
10,4,0.6625748538,0.7759166667
10,5,0.6947031769,0.7651666667
10,6,0.6840641149,0.764
10,7,0.6623362726,0.77875
10,8,0.653744591,0.7749166667
10,9,0.641934912,0.7778333333
10,10,0.686750759,0.7703333333
10,11,0.6607348353,0.7741666667
10,12,0.6461707131,0.778
10,13,0.6604942822,0.77275
10,14,0.6632747101,0.7731666667
10,15,0.649580276,0.7784166667
10,16,0.6677831523,0.7665833333
10,17,0.6652906589,0.7699166667
10,18,0.6531028512,0.7765833333
10,19,0.6475330158,0.776
15,0,0.6849245688,0.7655
15,1,0.6979220451,0.7620833333
15,2,0.7199153521,0.7576666667
15,3,0.6937635971,0.7574166667
15,4,0.7077344098,0.7588333333
15,5,0.6775461704,0.7680833333
15,6,0.7095184242,0.75375
15,7,0.7189917402,0.7558333333
15,8,0.6946442599,0.764
15,9,0.68326683,0.7605833333
15,10,0.6931554471,0.7625
15,11,0.7223491521,0.75325
15,12,0.6688399941,0.7675833333
15,13,0.7268834192,0.7549166667
15,14,0.7258121935,0.7484166667
15,15,0.7062379827,0.75875
15,16,0.6873913765,0.7613333333
15,17,0.7043481078,0.759
15,18,0.6959113713,0.758
15,19,0.6877147208,0.76525
18,0,8.4378230209,0.1009166667
18,1,8.1329223957,0.0948333333
18,2,8.0697931391,0.1070833333
18,3,8.3223099658,0.099
18,4,8.0080071411,0.0988333333
18,5,8.1329223887,0.10025
18,6,8.2430626952,0.1063333333
18,7,8.0577046153,0.0971666667
18,8,8.1987379506,0.095
18,9,8.166501737,0.10375
18,10,8.0979998525,0.1535
18,11,1.1920930376163597e-07,0.1005833333
18,12,1.1920930376163597e-07,0.1006666667
18,13,7.9663687375,0.1019166667
18,14,1.1920930376163597e-07,0.1006666667
18,15,1.1920930376163597e-07,0.10225
18,16,1.1920930376163597e-07,0.1034166667
18,17,8.1396382758,0.10275
18,18,8.0872544333,0.1141666667
18,19,1.1920930376163597e-07,0.1011666667
