Mutation Number,Layer Num,Accuracy,Loss
0,0,0.9909286,0.03128150326952995
1,0,0.99057144,0.033599085869026435
2,0,0.9907143,0.03453228701298966
3,0,0.98878574,0.04004709066166262
4,0,0.99114287,0.039072643284909385
5,0,0.9907857,0.03169179655071054
6,0,0.98957145,0.03554052684623873
7,0,0.9915714,0.03806012121257352
8,0,0.9902857,0.03734904303741704
9,0,0.9887143,0.039247700117208295
10,0,0.9907857,0.03492014539557983
11,0,0.98957145,0.0388115536358195
12,0,0.9900714,0.03568141998451444
13,0,0.9892143,0.03857177412682462
14,0,0.99128574,0.02865498911645201
15,0,0.99035716,0.03345410397981011
16,0,0.9890714,0.04367954067034849
17,0,0.99164283,0.027393660825413203
18,0,0.9908571,0.03210503956709207
19,0,0.99042857,0.033101137216440944
0,1,0.9909286,0.03128150326952995
1,1,0.99057144,0.033599085869026435
2,1,0.9907143,0.03453228701298966
3,1,0.98878574,0.04004709066166262
4,1,0.99114287,0.039072643284909385
5,1,0.9907857,0.03169179655071054
6,1,0.98957145,0.03554052684623873
7,1,0.9915714,0.03806012121257352
8,1,0.9902857,0.03734904303741704
9,1,0.9887143,0.039247700117208295
10,1,0.9907857,0.03492014539557983
11,1,0.98957145,0.0388115536358195
12,1,0.9900714,0.03568141998451444
13,1,0.9892143,0.03857177412682462
14,1,0.99128574,0.02865498911645201
15,1,0.99035716,0.03345410397981011
16,1,0.9890714,0.04367954067034849
17,1,0.99164283,0.027393660825413203
18,1,0.9908571,0.03210503956709207
19,1,0.99042857,0.033101137216440944
