"Run Number","Run Number","Loss","Accuracy"
256,0,0.034590841,0.99042857
256,1,0.032124103,0.99042857
256,2,0.030862925,0.9919286
256,3,0.035748885,0.9895
256,4,0.033259913,0.99142855
256,5,0.037805056,0.98992854
256,6,0.037500583,0.989
256,7,0.036276098,0.9902143
256,8,0.036072384,0.98978573
256,9,0.0399491,0.9895
256,10,0.036901326,0.9905
256,11,0.037891478,0.98985714
256,12,0.032934066,0.98978573
256,13,0.038163367,0.98957145
256,14,0.028248921,0.99057144
256,15,0.03593406,0.9885714
256,16,0.041275327,0.9890714
256,17,0.028708052,0.9915
256,18,0.032393958,0.9908571
256,19,0.028692795,0.9908571
512,0,0.032838628,0.99042857
512,1,0.039979204,0.98707145
512,2,0.032420343,0.9905
512,3,0.03723737,0.98914284
512,4,0.038642948,0.98892856
512,5,0.033801703,0.9907143
512,6,0.040417216,0.98814285
512,7,0.039066994,0.9893571
512,8,0.03883419,0.9893571
512,9,0.041611266,0.9875714
512,10,0.03972965,0.9887143
512,11,0.040503067,0.9887143
512,12,0.033450928,0.9901429
512,13,0.045537755,0.9875
512,14,0.033520816,0.99035716
512,15,0.033883718,0.9895
512,16,0.044428751,0.98792857
512,17,0.034258926,0.9894286
512,18,0.032939157,0.98978573
512,19,0.034118811,0.98957145
1024,0,0.041176387,0.98707145
1024,1,0.043044044,0.98728573
1024,2,0.038208998,0.98957145
1024,3,0.039722228,0.9885
1024,4,0.042870119,0.988
1024,5,0.042687642,0.98707145
1024,6,0.042772468,0.98707145
1024,7,0.043208946,0.9875714
1024,8,0.040486451,0.9882143
1024,9,0.044835131,0.9867857
1024,10,0.043755826,0.9883571
1024,11,0.041778645,0.98807144
1024,12,0.040429676,0.98742855
1024,13,0.045256872,0.9860714
1024,14,0.035662818,0.9882857
1024,15,0.039499929,0.98735714
1024,16,0.046630493,0.9857857
1024,17,0.032866231,0.98978573
1024,18,0.038851166,0.9875714
1024,19,0.037019326,0.98885715
