"Layer Number","Run Number","Loss","Accuracy"
1,0,0.0429004768,0.9876429
1,1,0.0403780586,0.9885
1,2,0.0387933155,0.9886429
1,3,0.0423579359,0.9882143
1,4,0.0489950441,0.9867857
1,5,0.0414021136,0.98728573
1,6,0.0429935982,0.987
1,7,0.0471434197,0.98657143
1,8,0.0447535582,0.9869286
1,9,0.0459171015,0.9869286
1,10,0.043679458,0.98807144
1,11,0.0479466008,0.98664284
1,12,0.0407902484,0.98742855
1,13,0.0459028649,0.98664284
1,14,0.0356998296,0.98885715
1,15,0.0370694282,0.9884286
1,16,0.0486923567,0.98557144
1,17,0.0392487233,0.9882857
1,18,0.0410586124,0.9882857
1,19,0.0432420531,0.9868571
2,0,0.0429582291,0.9869286
2,1,0.0422544978,0.9882143
2,2,0.0396633203,0.98814285
2,3,0.0457024041,0.98714286
2,4,0.0457920243,0.9875
2,5,0.0418781636,0.98807144
2,6,0.0431773964,0.9867143
2,7,0.0472358831,0.987
2,8,0.0454994553,0.98657143
2,9,0.0488145215,0.9852143
2,10,0.0490233965,0.98635715
2,11,0.0480810813,0.9861429
2,12,0.0375251068,0.98742855
2,13,0.0491085665,0.98657143
2,14,0.0386451806,0.98807144
2,15,0.0410411775,0.987
2,16,0.0503029376,0.9850714
2,17,0.0400321841,0.98792857
2,18,0.0429990622,0.98742855
2,19,0.0439451365,0.98707145
3,0,0.0379258895,0.9890714
3,1,0.0375938814,0.98914284
3,2,0.0378507143,0.9901429
3,3,0.0404803809,0.9909286
3,4,0.0436474274,0.9890714
3,5,0.0444141724,0.9893571
3,6,0.0397955768,0.9890714
3,7,0.0464895871,0.9892857
3,8,0.044227517,0.9892857
3,9,0.0484138708,0.98892856
3,10,0.0425734142,0.9895
3,11,0.0470503803,0.9887143
3,12,0.0384173271,0.9900714
3,13,0.0445725206,0.98992854
3,14,0.0351342078,0.99128574
3,15,0.0372583634,0.9900714
3,16,0.0556348575,0.98707145
3,17,0.0332135059,0.9917143
3,18,0.0416348668,0.98992854
3,19,0.0352895658,0.9902143
4,0,0.0381884778,0.9887143
4,1,0.0407363651,0.98914284
4,2,0.0323291316,0.99221426
4,3,0.0343359519,0.99042857
4,4,0.0397343977,0.9910714
4,5,0.0343616175,0.9901429
4,6,0.0399265819,0.99035716
4,7,0.0422374003,0.99042857
4,8,0.0371544838,0.9902143
4,9,0.0434173504,0.9907857
4,10,0.0377653981,0.9900714
4,11,0.0403654844,0.9902143
4,12,0.0316295008,0.99135715
4,13,0.0423965781,0.9900714
4,14,0.0347587285,0.9907857
4,15,0.0319497845,0.99035716
4,16,0.0477184047,0.98814285
4,17,0.0276668624,0.9917857
4,18,0.0344921664,0.9915714
4,19,0.0343385688,0.9908571
6,0,0.0395396144,0.988
6,1,0.0446762639,0.9868571
6,2,0.0377031225,0.98914284
6,3,0.0410972742,0.9886429
6,4,0.0429770488,0.98785716
6,5,0.0435646388,0.98707145
6,6,0.0420125945,0.98792857
6,7,0.0443365778,0.9884286
6,8,0.0435972826,0.9876429
6,9,0.0467033504,0.9869286
6,10,0.0425080445,0.9875
6,11,0.0386130886,0.9893571
6,12,0.0372676757,0.9886429
6,13,0.0462768799,0.98635715
6,14,0.0354475374,0.9882143
6,15,0.0376540005,0.98892856
6,16,0.0453346812,0.98642856
6,17,0.0350056434,0.98878574
6,18,0.0367027495,0.98885715
6,19,0.0384268698,0.9882857
7,0,0.0464566129,0.98878574
7,1,0.0437011161,0.9901429
7,2,0.0390499622,0.9917143
7,3,0.0476478693,0.98992854
7,4,0.0516480186,0.9885714
7,5,0.0406185507,0.9910714
7,6,0.051708678,0.9887143
7,7,0.0491175856,0.98964286
7,8,0.046997654,0.9895
7,9,0.0608432084,0.9868571
7,10,0.0419482953,0.9907143
7,11,0.0482296247,0.98992854
7,12,0.0357564826,0.99114287
7,13,0.0442296714,0.9902857
7,14,0.0395837645,0.99064285
7,15,0.0383453945,0.99
7,16,0.0551051036,0.9887143
7,17,0.0373867865,0.9912143
7,18,0.0444430437,0.9901429
7,19,0.0394260776,0.9910714
