"Run Number","Loss","Accuracy"
0,0.031281503,0.9909285714
1,0.0335990851,0.9905714286
2,0.0345322866,0.9907142857
3,0.0400470897,0.9887857143
4,0.0390726442,0.9911428571
5,0.031691795,0.9907857143
6,0.0355405277,0.9895714286
7,0.0380601212,0.9915714286
8,0.0373490424,0.9902857143
9,0.0392476997,0.9887142857
10,0.0349201445,0.9907857143
11,0.038811554,0.9895714286
12,0.0356814215,0.9900714286
13,0.0385717709,0.9892142857
14,0.0286549893,0.9912857143
15,0.0334541019,0.9903571429
16,0.0436795401,0.9890714286
17,0.0273936605,0.9916428571
18,0.0321050376,0.9908571429
19,0.0331011369,0.9904285714
